boss_lamar_d: .word 16, 16
.byte 199,199,199,199,199,199,199,199,73,0,0,0,199,199,199,199,
199,199,199,199,73,73,73,73,155,163,173,0,0,199,199,199,
199,199,199,199,0,0,1,172,246,255,91,1,1,0,199,199,
199,199,199,73,164,173,91,237,255,173,9,1,1,0,0,199,
199,0,163,245,246,246,246,246,90,9,1,1,1,1,0,199,
199,82,246,255,255,255,255,246,173,82,1,73,9,1,1,0,
73,172,255,246,255,255,255,246,254,255,82,9,73,9,1,0,
73,255,246,9,73,246,255,166,166,246,246,82,73,73,9,0,
155,255,246,82,1,73,245,87,87,82,164,1,73,73,73,0,
91,255,82,1,73,246,254,87,85,73,164,1,73,73,73,0,
0,255,164,9,1,91,246,166,82,164,246,1,73,73,9,199,
0,255,82,73,73,173,157,174,246,255,246,9,73,73,0,199,
199,164,255,82,73,173,173,93,82,164,182,9,73,73,199,199,
199,199,255,246,164,255,254,87,85,73,82,9,73,0,199,199,
199,199,199,155,246,255,246,155,91,199,199,199,9,199,199,199,
199,199,199,199,155,155,155,199,199,199,199,199,199,0,199,199,


